"60" "акушерства ФПДО" "вага торзійна" "" "" "1978" "1978" "10" "42" "задов." "-"
"62" "акушерства ФПДО" "графопроектор" " Лектор 2000326" "323057" "1984" "1984" "10" "36" "задов." "-"
"63" "акушерства ФПДО" "діапроектор" "ЛЕТІ 103446" "8323205" "1984" "1984" "10" "36" "задов." "-"
"64" "акушерства ФПДО" "діапроектор" "Екран 2182" "931829" "1984" "1984" "10" "36" "задов." "-"
"65" "акушерства ФПДО" "діапроектор" "Київ 661831825" "831825" "1984" "1984" "10" "36" "задов." "-"
"66" "акушерства ФПДО" "діапроектор" "Альфа-203" "03397" "1984" "1984" "10" "36" "задов." "-"
"67" "акушерства ФПДО" "холодильник" "Снайгеф 1200001" "104815260" "2001" "2001" "10" "19" "задов." "-"
"68" "акушерства ФПДО" "Др. машинка" "Україна 324596" "1631427" "1970" "1970" "10" "50" "задов." "-"
"63" "акушерства ФПДО" "діапроектор" "ЛЕТІ 103446" "8323205" "1984" "1984" "10" "36" "задов." "-"
"64" "акушерства ФПДО" "діапроектор" "Екран 2182" "931829" "1984" "1984" "10" "36" "задов." "-"
"65" "акушерства ФПДО" "діапроектор" "Київ 661831825" "831825" "1984" "1984" "10" "36" "задов." "-"
"66" "акушерства ФПДО" "діапроектор" "Альфа-203" "03397" "1984" "1984" "10" "36" "задов." "-"
"67" "акушерства ФПДО" "холодильник" "Снайгеф 1200001" "104815260" "2001" "2001" "10" "19" "задов." "-"
"68" "акушерства ФПДО" "Др. машинка" "Україна 324596" "1631427" "1970" "1970" "10" "50" "задов." "-"
"69" "акушерства ФПДО" "Др. машинка" "Ятрань ТУ 25" "80163178345" "1985" "1985" "10" "35" "задов." "-"
"71" "фармхімії ФПДО" "фотометр" "МЕФ" "1392" "1992" "1992" "10" "28" "незадов." "-"
"72" "фармхімії ФПДО" "термостат" "" "" "1992" "1992" "10" "28" "незадов." "-"
"73" "фармхімії ФПДО" "іономір" "ЕВ-74" "9386" "1992" "1992" "10" "28" "незадов." "-"
"74" "фармхімії ФПДО" "іономір" "ЕВ-74" "9219" "1992" "1992" "10" "28" "незадов." "-"
"75" "фармхімії ФПДО" "рефрактометр" "РЛ-2" "380" "1992" "1992" "10" "28" "незадов." "-"
"76" "фармхімії ФПДО" "рефрактометр" "РЛ-2" "81-0684" "1992" "1992" "10" "28" "задов." "-"
"76" "фармхімії ФПДО" "рефрактометр" "РЛ-2" "81-0684" "1992" "1992" "10" "28" "задов." "-"
"77" "фармхімії ФПДО" "рефрактометр" "РІ-2" "80-3187" "1992" "1992" "10" "28" "незадов." "-"
"78" "фармхімії ФПДО" "центрифуга" "ОПн-8" "79-59" "1992" "1992" "10" "28" "незадов." "-"
"79" "фармхімії ФПДО" "іономір" "ЕВ-74" "7599" "1983" "1983" "10" "37" "незадов." "-"
"80" "фармхімії ФПДО" "іономір" "ЕВ-74" "7108" "1983" "1983" "10" "37" "незадов." "-"
"81" "фармхімії ФПДО" "іономір" "ЕВ-74" "6623" "1983" "1983" "10" "37" "незадов." "-"
"82" "фармхімії ФПДО" "шафа сушильна" "ШСЕ-80" "685" "1998" "1998" "10" "22" "незадов." "-"
"83" "фармхімії ФПДО" "шафа сушильна" "ШЛ-2" "" "1998" "1998" "10" "22" "незадов." "-"
"84" "фармхімії ФПДО" "вага електронна" "АД-200" "268" "2001" "2001" "10" "19" "задов." "-"
"85" "фармхімії ФПДО" "вага електронна" "ВПА40,160с" "78419" "2001" "2001" "10" "19" "задов." "-"
"86" "фармхімії ФПДО" "шафа сушильна" "" "" "2002" "2002" "10" "18" "задов." "-"
"87" "фармхімії ФПДО" "дистилятор" "" "" "1998" "1998" "10" "22" "незадов." "-"
"88" "фармхімії ФПДО" "вага торзійна" "ВТ-500" "1553" "1992" "1992" "10" "28" "задов." "-"
